id,city,country,region,short_description,latitude,longitude,avg_temp_monthly,ideal_durations,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion
201,Goa,India,asia,"Beaches, nightlife, and Portuguese heritage mix for a vibrant coastal escape.",15.2993,74.124,"{""1"": {""avg"": 25}, ""2"": {""avg"": 27}, ""3"": {""avg"": 29}, ""4"": {""avg"": 31}, ""5"": {""avg"": 32}, ""6"": {""avg"": 30}, ""7"": {""avg"": 28}, ""8"": {""avg"": 28}, ""9"": {""avg"": 29}, ""10"": {""avg"": 30}, ""11"": {""avg"": 28}, ""12"": {""avg"": 26}}",5-7 days,Budget,3.5,4.5,3.0,5.0,4.8,4.3,3.0,2.5,1.5
202,Jaipur,India,asia,"The Pink City with royal palaces, forts, and cultural richness.",26.9124,75.7873,"{""1"": {""avg"": 15}, ""2"": {""avg"": 20}, ""3"": {""avg"": 25}, ""4"": {""avg"": 30}, ""5"": {""avg"": 33}, ""6"": {""avg"": 34}, ""7"": {""avg"": 30}, ""8"": {""avg"": 28}, ""9"": {""avg"": 29}, ""10"": {""avg"": 26}, ""11"": {""avg"": 20}, ""12"": {""avg"": 16}}",3-4 days,Mid-range,4.8,3.0,2.5,0.5,2.0,4.5,3.5,3.0,2.0
203,Manali,India,asia,Himalayan hill station known for adventure sports and snow views.,32.2432,77.1892,"{""1"": {""avg"": 2}, ""2"": {""avg"": 5}, ""3"": {""avg"": 10}, ""4"": {""avg"": 15}, ""5"": {""avg"": 18}, ""6"": {""avg"": 20}, ""7"": {""avg"": 19}, ""8"": {""avg"": 18}, ""9"": {""avg"": 17}, ""10"": {""avg"": 12}, ""11"": {""avg"": 7}, ""12"": {""avg"": 3}}",4-6 days,Budget,3.5,4.8,5.0,0.2,2.0,3.5,3.0,2.8,3.5
204,Kerala Backwaters,India,asia,"Serene houseboats, lush greenery, and Ayurvedic wellness.",9.4981,76.3388,"{""1"": {""avg"": 25}, ""2"": {""avg"": 26}, ""3"": {""avg"": 28}, ""4"": {""avg"": 29}, ""5"": {""avg"": 30}, ""6"": {""avg"": 28}, ""7"": {""avg"": 27}, ""8"": {""avg"": 27}, ""9"": {""avg"": 28}, ""10"": {""avg"": 28}, ""11"": {""avg"": 27}, ""12"": {""avg"": 26}}",5-7 days,Mid-range,4.5,3.0,4.7,3.5,2.5,4.0,4.8,2.5,3.0
205,Leh-Ladakh,India,asia,High-altitude desert with monasteries and breathtaking landscapes.,34.1526,77.5771,"{""1"": {""avg"": -5}, ""2"": {""avg"": 0}, ""3"": {""avg"": 5}, ""4"": {""avg"": 10}, ""5"": {""avg"": 15}, ""6"": {""avg"": 18}, ""7"": {""avg"": 20}, ""8"": {""avg"": 19}, ""9"": {""avg"": 15}, ""10"": {""avg"": 10}, ""11"": {""avg"": 2}, ""12"": {""avg"": -2}}",6-8 days,Mid-range,4.3,5.0,5.0,0.0,1.5,3.5,3.8,2.0,4.5
206,Mumbai,India,asia,"Bustling metropolis with Bollywood, nightlife, and beaches.",19.076,72.8777,"{""1"": {""avg"": 24}, ""2"": {""avg"": 25}, ""3"": {""avg"": 28}, ""4"": {""avg"": 30}, ""5"": {""avg"": 32}, ""6"": {""avg"": 29}, ""7"": {""avg"": 27}, ""8"": {""avg"": 27}, ""9"": {""avg"": 28}, ""10"": {""avg"": 29}, ""11"": {""avg"": 28}, ""12"": {""avg"": 25}}",3-5 days,Luxury,4.0,3.5,2.8,3.5,5.0,4.8,3.8,4.8,1.5
207,Varanasi,India,asia,"The spiritual capital with Ganga ghats, temples, and rituals.",25.3176,82.9739,"{""1"": {""avg"": 15}, ""2"": {""avg"": 18}, ""3"": {""avg"": 25}, ""4"": {""avg"": 30}, ""5"": {""avg"": 33}, ""6"": {""avg"": 32}, ""7"": {""avg"": 30}, ""8"": {""avg"": 29}, ""9"": {""avg"": 29}, ""10"": {""avg"": 28}, ""11"": {""avg"": 20}, ""12"": {""avg"": 16}}",2-3 days,Budget,5.0,2.0,3.0,0.2,1.0,4.0,4.5,2.0,3.5
208,Rishikesh,India,asia,Yoga capital with adventure sports and Ganga river views.,30.0869,78.2676,"{""1"": {""avg"": 10}, ""2"": {""avg"": 15}, ""3"": {""avg"": 20}, ""4"": {""avg"": 25}, ""5"": {""avg"": 28}, ""6"": {""avg"": 30}, ""7"": {""avg"": 29}, ""8"": {""avg"": 28}, ""9"": {""avg"": 27}, ""10"": {""avg"": 22}, ""11"": {""avg"": 15}, ""12"": {""avg"": 11}}",3-5 days,Budget,4.5,4.8,4.5,0.0,2.0,4.0,5.0,2.0,3.0
209,Udaipur,India,asia,"Romantic lakes, palaces, and heritage hotels in Rajasthan.",24.5854,73.7125,"{""1"": {""avg"": 16}, ""2"": {""avg"": 20}, ""3"": {""avg"": 25}, ""4"": {""avg"": 30}, ""5"": {""avg"": 32}, ""6"": {""avg"": 31}, ""7"": {""avg"": 29}, ""8"": {""avg"": 28}, ""9"": {""avg"": 28}, ""10"": {""avg"": 26}, ""11"": {""avg"": 20}, ""12"": {""avg"": 17}}",3-4 days,Mid-range,4.8,3.0,3.0,0.2,2.0,4.5,4.0,3.2,2.5
210,Andaman Islands,India,asia,"Tropical beaches, scuba diving, and coral reefs.",11.7401,92.6586,"{""1"": {""avg"": 27}, ""2"": {""avg"": 28}, ""3"": {""avg"": 29}, ""4"": {""avg"": 30}, ""5"": {""avg"": 31}, ""6"": {""avg"": 29}, ""7"": {""avg"": 28}, ""8"": {""avg"": 28}, ""9"": {""avg"": 29}, ""10"": {""avg"": 29}, ""11"": {""avg"": 28}, ""12"": {""avg"": 27}}",5-7 days,Luxury,3.5,4.5,4.7,5.0,4.0,4.5,4.2,3.0,3.0
211,Shimla,India,asia,"Colonial charm, pine forests, and Himalayan views.",31.1048,77.1734,"{""1"": {""avg"": 5}, ""2"": {""avg"": 10}, ""3"": {""avg"": 15}, ""4"": {""avg"": 20}, ""5"": {""avg"": 22}, ""6"": {""avg"": 24}, ""7"": {""avg"": 22}, ""8"": {""avg"": 22}, ""9"": {""avg"": 20}, ""10"": {""avg"": 15}, ""11"": {""avg"": 10}, ""12"": {""avg"": 6}}",3-4 days,Mid-range,4.0,4.0,4.8,0.0,2.0,3.8,3.5,3.0,3.5
212,Darjeeling,India,asia,"Tea gardens, toy train, and Kanchenjunga views.",27.036,88.2627,"{""1"": {""avg"": 7}, ""2"": {""avg"": 10}, ""3"": {""avg"": 15}, ""4"": {""avg"": 18}, ""5"": {""avg"": 20}, ""6"": {""avg"": 21}, ""7"": {""avg"": 20}, ""8"": {""avg"": 20}, ""9"": {""avg"": 19}, ""10"": {""avg"": 16}, ""11"": {""avg"": 12}, ""12"": {""avg"": 8}}",3-5 days,Budget,4.5,3.8,4.7,0.0,1.5,4.0,4.0,2.5,3.5
